,distance
353,1.8887614777432844
354,0.6149925868999904
355,2.6361955199968197
356,0.7413798339324641
357,0.6715502050335979
358,1.5365967470985173
359,1.733381913983949
360,4.281653924479641
361,1.7826289201836507
362,3.7636536812078467
363,1.1763764927386944
364,2.516327795719181
365,2.643130133851737
366,6.6839964294217245
367,2.6563868223711915
368,1.4312623953901218
369,2.044013964035417
370,2.1460979290635542
371,2.7730318149359325
372,1.3752082326156518
373,2.4777269063215184
374,6.76241199084872
375,9.074481258244399
376,5.543332580854716
377,2.65977573161027
378,2.66351653815374
379,0.8471843604561732
380,2.935666122091288
381,2.64188708106426
382,1.4032645419145113
383,8.097007629790108
384,1.438246851296085
385,1.9971214760811153
386,1.9745932771007682
387,1.2350241233587607
388,2.2952173932169315
389,1.8370251709458478
390,2.615718108707822
391,1.7394235692391413
392,6.730382213975644
393,4.036276783151836
394,1.8654978913753208
395,0.8013791315190881
396,3.1786722226595603
397,3.6240814693760433
398,1.2608407309192757
399,4.312166372707321
400,8.272770891276936
401,2.925245565372976
402,4.208749805615105
403,1.6889559470078956
404,0.35000137976610907
405,5.871776537736587
406,1.614440536963538
407,0.4463217045568737
408,8.16429712573064
409,3.0615561616515774
410,2.378067719195766
411,0.8034071476680735
412,2.3318426802154613
413,1.8005634099162082
414,1.3289818115909098
415,0.9484948238345203
416,3.0374286322331345
417,0.7115996523123473
418,1.5831436590185404
419,0.6846545592757979
420,4.869944429742815
421,2.2712429267427092
422,1.9106114015911961
423,0.7115996555533624
424,1.5748436546384827
425,3.382259324119311
426,2.777722212415881
427,2.9289938990911684
428,1.9858312947487518
429,1.044179068145073
430,0.9712446552392995
431,1.7097309899520308
432,6.805199870135975
433,9.819479808297272
434,1.0039117549831682
435,1.6742524489884558
436,2.7850070033955405
437,1.7239269243566602
438,0.9036921163106766
439,1.7096485354528643
440,0.05766604674890547
441,4.62227506695711
442,2.815344882291463
443,3.427702984161929
444,2.4660524046720105
445,3.7193379789672125
446,2.8459849228527037
447,1.7974981762846571
448,3.36319721235786
449,1.674852443606168
450,4.049451043060244
451,1.6665838089639333
452,1.7216462465480482
453,1.9456212919785785
454,1.446501651562592
455,3.0871140077909858
456,3.6107385706028197
457,1.4049705894933466
458,1.155915283640044
459,3.3885144958394413
460,6.627984561971586
461,3.5142034523897583
462,1.1682072214147758
463,2.225736609827985
464,8.398470187865163
465,0.4273840412989746
466,9.156406072013267
467,2.4301411338677865
468,0.7828854140003152
469,4.555804586454412
470,4.21057856042816
471,2.6856413116148214
472,0.6855522623112112
473,0.44220520495768884
474,2.6973217263147595
475,6.375597299619826
476,2.2909596393551954
477,3.765575779440118
478,3.5691546157713034
479,1.8672833122855501
480,2.210015429396371
481,2.8650564654278683
482,2.297528267111099
483,2.531212813999685
484,3.0599714801297084
485,2.6329617287135574
486,4.057422506553815
487,8.212759743028881
488,1.591879027607561
489,2.0524694649210478
490,1.0402626994512034
491,1.1205235776071518
492,1.522463895425401
493,9.19862337080288
494,2.7141935270051047
495,2.2071158785874867
496,0.659297543697793
497,8.093031841469498
498,2.5068810457346475
499,1.2002960562019611
500,0.7778653085366677
501,2.5006020479442936
502,2.7188896170103143
503,2.0186382910981036
504,2.81663794167652
505,4.372887015876686
506,3.0776201961756584
507,1.553030371722166
508,1.2492562126170201
509,2.207267788111246
510,2.743539656471762
511,1.4697084574679808
512,1.5074291205369337
513,3.565824194798916
514,1.6538129111160589
515,2.4115408284855975
516,4.221345156966935
